[17-Aug-2014 1:12:33 PM] Mod T used command:	[tele 0,40,48,54,19]
[17-Aug-2014 1:12:34 PM] Mod T used command:	[obj 7389 10 0]
[17-Aug-2014 1:12:35 PM] Mod T used command:	[tele 0,40,48,51,21]
[17-Aug-2014 1:15:35 PM] Mod T used command:	[tele 0,48,54,36,45]
[17-Aug-2014 1:15:53 PM] Mod T used command:	[tele 0,48,54,15,39]
[17-Aug-2014 1:15:59 PM] Mod T used command:	[xtele 2595 3099]
[17-Aug-2014 1:16:25 PM] Mod T used command:	[obj 28716]
[17-Aug-2014 1:16:29 PM] Mod T used command:	[tele 0,40,48,55,7]
[17-Aug-2014 1:16:30 PM] Mod T used command:	[obj 28716]
[17-Aug-2014 1:16:31 PM] Mod T used command:	[tele 0,40,48,55,6]
[17-Aug-2014 1:16:32 PM] Mod T used command:	[obj 28716]
[17-Aug-2014 1:16:34 PM] Mod T used command:	[tele 0,40,48,52,8]
[17-Aug-2014 1:16:37 PM] Mod T used command:	[tele 0,40,48,55,14]
